Fish,Scan,Scanner,Scan date,Voxelsize [μm],Source voltage [kV],Source current [μA],Filter,Exposure time [ms],Frame averaging,360° scan,Rotation step [°],Projection size,Scan duration [s],Stacked scans,Total scan duration [s],Ring removal correction,Beam hardening correction,Gray value mapping
10576_Paralabidochromis_rockkribensis_sauvagei,rec,SkyScan 2214,2021-07-05 13:53:53,8.588096,70.0,140.0,False,682,,True,0.2,"(3072, 1944)",4921.0,1,4921.0,,,0.114528
10605_Paralabidochromis_rockpicker_cyaneus,head.rec,SkyScan 2214,2021-10-18 14:08:47,16.99969,70.0,140.0,False,706,,False,0.1,"(3072, 1944)",5959.0,1,5959.0,,,0.114351
10605_Paralabidochromis_rockpicker_cyaneus,rec,SkyScan 2214,2021-07-12 10:43:15,8.34876,70.0,140.0,False,686,,False,0.2,"(3072, 1944)",3217.0,1,3217.0,,,0.113029
10618_Paralabidochromis_chilotes_complex_chilotes,head.head_rec,SkyScan 2214,2021-07-02 15:18:28,20.000477,70.0,140.0,False,937,,False,0.2,"(3072, 1944)",3557.0,1,3557.0,,,0.078962
10618_Paralabidochromis_chilotes_complex_chilotes,head2.rec,SkyScan 2214,2022-02-10 12:59:38,28.000837,70.0,140.0,False,904,,False,0.2,"(1536, 972)",2720.0,1,2720.0,,,0.128634
10618_Paralabidochromis_chilotes_complex_chilotes,rec,SkyScan 2214,2021-07-02 10:58:37,9.000117,70.0,140.0,False,937,,False,0.2,"(3072, 1944)",3562.0,1,3562.0,,,0.111237
10619_Neochromis_rufocaudalis,head.rec,SkyScan 2214,2021-12-02 12:44:16,14.000419,70.0,140.0,False,569,,False,0.1,"(3072, 1944)",5632.0,1,5632.0,,,0.113936
10619_Neochromis_rufocaudalis,head.rec_2xbin_23um,SkyScan 2214,2021-10-21 15:51:59,33.873713,70.0,140.0,False,681,,False,0.2,"(768, 486)",1871.0,1,1871.0,,,0.09
10619_Neochromis_rufocaudalis,head.rec_4xbin_40um,SkyScan 2214,2021-10-21 17:13:27,39.999499,70.0,140.0,False,681,,False,0.4,"(768, 486)",946.0,1,946.0,,,0.09
10619_Neochromis_rufocaudalis,head.rec_unbinned_17.5um,SkyScan 2214,2021-10-21 12:11:05,33.873713,70.0,140.0,False,681,,False,0.1,"(768, 486)",3722.0,1,3722.0,,,0.09
10619_Neochromis_rufocaudalis,rec,SkyScan 2214,2021-07-26 14:27:41,8.34876,70.0,140.0,False,813,,False,0.2,"(3072, 1944)",3280.0,1,3280.0,,,0.077216
10619_Neochromis_rufocaudalis,rec_rescan_OJ,SkyScan 2214,2021-10-21 11:08:04,33.873713,70.0,140.0,False,681,,False,0.1,"(768, 486)",3740.0,1,3740.0,,,0.079659
10628_Paralabidochromis_rockkribensis_short_snout_scraper,full_188um.rec,SkyScan 2214,2021-02-10 14:41:06,188.212,70.0,200.0,False,294,3.0,False,0.8,"(768, 486)",674.0,1,674.0,,,0.042181
10628_Paralabidochromis_rockkribensis_short_snout_scraper,head.rec,SkyScan 2214,2022-03-29 13:17:01,21.999992,70.0,140.0,False,587,,False,0.1,"(3072, 1944)",5650.0,1,5650.0,,,0.074944
10628_Paralabidochromis_rockkribensis_short_snout_scraper,head_13um.rec,SkyScan 2214,2021-02-10 13:36:01,13.127366,70.0,200.0,False,450,,False,0.2,"(3072, 1944)",2623.0,1,2623.0,,,0.057892
10628_Paralabidochromis_rockkribensis_short_snout_scraper,head_18um.rec,SkyScan 2214,2021-02-10 12:47:54,17.999866,70.0,200.0,False,450,3.0,False,0.2,"(3072, 1944)",4288.0,1,4288.0,,,0.048592
10628_Paralabidochromis_rockkribensis_short_snout_scraper,rec_oj,SkyScan 2214,2022-03-29 16:04:11,9.999875,70.0,140.0,False,587,,False,0.1,"(3072, 1944)",5684.0,1,5684.0,,,0.12897
10628_Paralabidochromis_rockkribensis_short_snout_scraper,rec_pj,SkyScan 2214,2022-03-29 17:47:06,9.999875,70.0,140.0,False,587,,False,0.1,"(3072, 1944)",5069.0,1,5069.0,,,0.081295
10629_Lipochromis_velvet_black_cryptodon,head.rec,SkyScan 2214,2021-11-22 17:04:42,24.998536,70.0,140.0,False,976,,False,0.2,"(1536, 972)",2799.0,1,2799.0,,,0.088706
10629_Lipochromis_velvet_black_cryptodon,rec,SkyScan 2214,2021-11-22 13:09:28,16.697521,70.0,140.0,False,976,,False,0.1,"(1536, 972)",5554.0,1,5554.0,,,0.072001
10629_Lipochromis_velvet_black_cryptodon,rec2,SkyScan 2214,2021-11-22 21:41:26,9.999875,70.0,140.0,False,810,,False,0.1,"(3072, 1944)",6458.0,1,6458.0,,,0.103575
106641_Labrochromis_sp_1,head.rec,SkyScan 2214,2022-03-28 14:00:10,17.999448,70.0,140.0,False,587,,False,0.1,"(3072, 1944)",5630.0,1,5630.0,,,0.100587
106641_Labrochromis_sp_1,rec,SkyScan 2214,2021-09-06 15:02:51,8.468428,70.0,140.0,False,1101,,False,0.2,"(3072, 1944)",3918.0,1,3918.0,,,0.125446
106641_Labrochromis_sp_1,rec_oj,SkyScan 2214,2022-03-28 16:39:17,7.000603,70.0,140.0,False,587,,False,0.1,"(3072, 1944)",6055.0,1,6055.0,,,0.160218
